Country	PeopleOrAdjective
Kroatien	der Kroate, die Kroatin, kroatisch
Kuba	der Kubaner, die Kubanerin, kubanisch
Kuwait	der Kuwaiter, die Kuwaiterin, kuwaitisch
Laos	der Laote, die Laotin, laotisch
Lesotho	der Lesother, die Lesotherin, lesothisch
Lettland	der Lette, die Lettin, lettisch
Libanon (m)	der Libanese, die Libanesin, libanesisch
Liberia	der Liberianer, die Liberianerin, liberianisch
Libyen	der Libyer, die Libyerin, libysch
Liechtenstein	der Liechtensteiner, die Liechtensteinerin, liechtensteinisch
Litauen	der Litauer, die Litauerin, litauisch
St. Lucia	der Lucianer, die Lucianerin, lucianisch
Luxemburg	der Luxemburger, die Luxemburgerin, luxemburgisch
Madagaskar	der Madagasse, die Madagassin, madagassisch
Malawi	der Malawier, die Malawierin, malawisch
Malaysia	der Malaysier, die Malaysierin, malaysisch
Malediven (pl)	der Malediver, die Malediverin, maledivisch
Mali	der Malier, die Malierin, malisch
Malta	der Malteser, die Malteserin, maltesisch
Marokko	der Marokkaner, die Marokkanerin, marokkanisch
Marshallinseln (pl)	der Marshaller, die Marshallerin, marshallisch
Mauretanien	der Mauretanier, die Mauretanierin, mauretanisch
Mauritius	der Mauritier, die Mauritierin, mauritisch
Mazedonien	der Mazedonier, die Mazedonierin, mazedonisch
Mexiko	der Mexikaner, die Mexikanerin, mexikanisch
Mikronesien	der Mikronesier, die Mikronesierin, mikronesisch
Moldau	der Moldauer, die Moldauerin, moldauisch
Monaco	der Monegasse, die Monegassin, monegassisch
Mongolei (f)	der Mongole, die Mongolin, mongolisch
Montenegro	der Montenegriner, die Montenegrinerin, montenegrinisch
Mosambik	der Mosambikaner, die Mosambikanerin, mosambikanisch
Myanmar	der Myanmare, die Myanmarin, myanmarisch
Namibia	der Namibier, die Namibierin, namibisch
Nauru	der Nauruer, Nauruerin, nauruisch
Nepal	der Nepalese, die Nepalesin, nepalesisch
Neuseeland	der Neuseeländer, die Neuseeländerin, neuseeländisch
Nicaragua	der Nicaraguaner, Nicaraguanerin, nicaraguanisch
Niederlande (pl)	der Niederländer, die Niederländerin, niederländisch
Nigeria	der Nigerianer, die Nigerianerin, nigerianisch
Niger (-, m)	der Nigrer, die Nigrerin, nigrisch
Nordkorea	der Nordkoreaner, die Nordkoreanerin, nordkoreanisch
Norwegen	der Norweger, die Norwegerin, norwegisch
Oman	der Omaner, die Omanerin, omanisch
Österreich	der Österreicher, die Österreicherin, österreichisch
Pakistan	der Pakistaner, die Pakistanerin, pakistanisch
Palästina	der Palästinenser, die Palästinenserin, palästinensisch
Palau	der Palauer, die Palauerin, palauisch
Panama	der Panamaer, die Panamaerin, panamaisch
Papua-Neuguinea	der Papua-Neuguineer, die Papua-Neuguineerin, papua-neuguineisch
Paraguay	der Paraguayer, die Paraguayerin, paraguayisch
Peru	der Peruaner, Peruanerin, peruanisch
Philippinen (pl)	der Philippiner, die Philippinerin, philippinisch
Polen	der Pole, die Polin, polnisch
Portugal	der Portugiese, die Portugiesin, portugiesisch
Puerto Rico	der Puerto-Ricaner, die Puerto-Ricanerin, puerto-ricanisch
Ruanda	der Ruander, die Ruanderin, ruandisch
Rumänien	der Rumäne, die Rumänin, rumänisch
Russland	der Russe, die Russin, russisch
Salomonen (pl)	der Salomoner, die Salomonerin, salomonisch
El Salvador	der Salvadorianer, die Salvadorianerin, salvadorianisch
Sambia	der Sambier, die Sambierin, sambisch
Samoa	der Samoaner, die Samoanerin, samoanisch
San Marino	der San-Marinese, die San-Marinesin, san-marinesisch
Saudi-Arabien	der Saudi-Araber, die Saudi-Araberin, saudi-arabisch
Schottland	der Schotte, die Schottin, schottisch
Schweden	der Schwede, die Schwedin, schwedisch
Schweiz (f)	der Schweizer, Schweizerin, schweizerisch
Senegal (m)	der Senegalese, die Senegalesin, senegalesisch
Serbien	der Serbe, die Serbin, serbisch
Seychellen	der Seycheller, die Seychellerin, seychellisch
Sierra Leone	der Sierra-Leoner, die Sierra-Leonerin, sierra-leonisch
Simbabwe	der Simbabwer, die Simbabwerin, simbabwisch
Singapur	der Singapurer, die Singapurerin, singapurisch
Slowakei (f)	der Slowake, die Slowakin, slowakisch
Slowenien	der Slowene, die Slowenin, slowenisch
Somalia	der Somalier, die Somalierin, somalisch
Spanien	der Spanier, die Spanierin, spanisch
Sri Lanka	der Sri Lanker, die Sri Lankerin, sri-lankisch
Südafrika	der Südafrikaner, die Südafrikanerin, südafrikanisch
Sudan (m)	der Sudanese, die Sudanesin, sudanesisch
Südkorea	der Südkoreaner, die Südkoreanerin, südkoreanisch
Suriname	der Surinamer, die Surinamerin, surinamisch
Syrien	der Syrer, die Syrerin, syrisch
São Tomé und Príncipe	der São Toméer, die São Toméerin, são-toméisch
Tadschikistan	der Tadschike, die Tadschikin, tadschikisch
Taiwan	der Taiwaner, die Taiwanerin, taiwanisch
Tansania	der Tansanier, die Tansanierin, tansanisch
Thailand	der Thailänder, die Thailänderin, thailändisch
Tibet	der Tibeter, die Tibeterin, tibetisch
Timor-Leste	der Timorese, die Timoresin, timoresisch
Togo	der Togoer, die Togoerin, togoisch
Tonga	der Tongaer, die Tongaerin, tongaisch
Tschad (-, m)	der Tschader, die Tschaderin, tschadisch
Tschechische Republik (f) (aber: Tschechien)	der Tscheche, die Tschechin, tschechisch
Tunesien	der Tunesier, die Tunesierin, tunesisch
Türkei (f)	der Türke, die Türkin, türkisch
Turkmenistan	der Turkmene, die Turkmenin, turkmenisch
Tuvalu	der Tuvaluer, die Tuvaluerin, tuvaluisch
Uganda	der Ugander, die Uganderin, ugandisch
Ukraine (f)	der Ukrainer, die Ukrainerin, ukrainisch
Ungarn	der Ungar, die Ungarin, ungarisch
Uruguay	der Uruguayer, die Uruguayerin, uruguayisch
Usbekistan	der Usbeke, die Usbekin, usbekisch
Vanuatu	der Vanuatuer, die Vanuatuerin, vanuatuisch
Venezuela	der Venezolaner, die Venezolanerin, venezolanisch
Vietnam	der Vietnamese, die Vietnamesin, vietnamesisch
St. Vincent und die Grenadinen	der Vincenter, die Vincenterin, vincentisch
Wales	der Waliser, die Waliserin, walisisch
Weißrussland 	der Weißrusse, die Weißrussin, weißrussisch
Zentralafrikanische Republik (f)	der Zentralafrikaner, die Zentralafrikanerin, zentralafrikanisch
Zypern	der Zyprer, die Zyprerin, zyprisch
Trinidad und Tobago	–
Vereinigte Arabische Emirate (pl)	–
St. Kitts und Nevis	–
Vatikanstadt	vatikanisch
Färöer-Inseln (pl)	–
Macau	–
